Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0227970405907787,-3.02623057399989E-05,0.0259881435598489,0,0,0,0.527327964410731,0.000640688576324311,-4.60231415528497E-08,-1.60591832275139E-07,0.00200912911881809,7.77293736242602E-11,0.00261331056586891,0,0,0,0,0,0,package://robot_ros_gk/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_ros_gk/meshes/base_link.STL,,Thanbaserobot-2;Thanbaserobot-1;trucdokhung-2;trucdokhung-1;trucdokhung-6;quetruoc-1;quetruoc-2;trucdokhung-5;giavamotor-1/giamotor-1;giavamotor-1/MOTORRRRR-1;trucdokhung-3;trucdokhung-4;giavamotor-2/giamotor-1;giavamotor-2/MOTORRRRR-1;servonho-1;trucbanhtruoc-3;trucbanhtruoc-2;tructruoc-1;chot3mmdai5mm-6;chot3mmdai5mm-1;hornservonho-1;truclaitruoc-1,hetruc_xe,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
banhtraisau_link,1.38777878078145E-17,1.38777878078145E-17,0.0150833895939276,0,0,0,0.0734919260346546,4.45273895329904E-05,5.76639827095674E-21,1.61121036314707E-20,4.45273895329904E-05,3.43059938073875E-21,7.80097515170451E-05,0,0,0,0,0,0,package://robot_ros_gk/meshes/banhtraisau_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_ros_gk/meshes/banhtraisau_link.STL,,banhxefinallll-2/lopxe-1;banhxefinallll-2/banhxe-1,hetruc_banhtraisau,trucbanhsau,banhtraisau_link_joint,continuous,-0.08596,0.1241,0.014318,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
banhphaisau_link,1.38777878078145E-17,-1.38777878078145E-17,-0.0150833895939276,0,0,0,0.0734919260346546,4.45273895329903E-05,-1.33362734134229E-20,1.04212162915766E-20,4.45273895329904E-05,-7.11013338701993E-22,7.8009751517045E-05,0,0,0,0,0,0,package://robot_ros_gk/meshes/banhphaisau_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_ros_gk/meshes/banhphaisau_link.STL,,banhxefinallll-1/lopxe-1;banhxefinallll-1/banhxe-1,hetruc_banhphaisau,trucbanhsau,banhphaisau_link_joint,continuous,-0.08596,-0.1241,0.014318,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
trutaymay_link,7.57972447307242E-09,5.14611103730189E-09,-0.0278680936480781,0,0,0,0.282569490408897,0.000394975772567928,-1.63534932283893E-06,3.20993633314502E-11,0.000394975542110068,-3.81562874929635E-11,0.000391214759288688,0,0,0,0,0,0,package://robot_ros_gk/meshes/trutaymay_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_ros_gk/meshes/trutaymay_link.STL,,taymay-2/de_arm-1;taymay-2/ongkhau1-3,Origin_trutaymay_link_joint,,trutaymay_link_joint,fixed,-0.045427,-0.0015382,0.068,3.1416,0,0.7854,base_link,0,0,0,0,0,0,0,,,,,,,,
khau1_link,0.00156774198874927,-0.000652656929735852,0.126358627057701,0,0,0,0.267175646223408,0.000665818869133716,1.05801521895385E-06,-2.36689410975453E-05,0.00068559382971246,1.31058859642379E-05,0.000111898705322211,0,0,0,0,0,0,package://robot_ros_gk/meshes/khau1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_ros_gk/meshes/khau1_link.STL,,taymay-2/truckhau1-3;taymay-2/servo-2;taymay-2/vongbi-4,hetruc_tinhtien,truckhoptinhtien,khau1_link_joint,prismatic,0,0,-0.015,3.1416,0,0.7854,trutaymay_link,0,0,1,1,1,0,0.1,,,,,,,,
khau2_link,0.125697400600578,-0.0166558129943211,0.00633232655346834,0,0,0,0.166914032024925,3.43056435973208E-05,7.21819142546534E-05,-6.98728190196815E-06,0.000725610322678349,7.13435007449521E-07,0.000749188447559246,0,0,0,0,0,0,package://robot_ros_gk/meshes/khau2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_ros_gk/meshes/khau2_link.STL,,taymay-2/khau2vataykep-1/khau2-1,hetruc_xoay,trucxoaytaymay,khau2_link_joint,revolute,-0.005723,-0.032713,0.19696,1.5708,0,0,khau1_link,0,0,1,1,1,-1.57,1.57,,,,,,,,
daukep_link,0.0340616552225212,0.00458895459813079,-0.0171361525435593,0,0,0,0.0519542946238163,1.19029924768056E-05,1.10583011267502E-08,1.583639514617E-07,9.86862871341646E-06,-1.44094512956148E-07,1.39559671006325E-05,0,0,0,0,0,0,package://robot_ros_gk/meshes/daukep_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_ros_gk/meshes/daukep_link.STL,,taymay-2/khau2vataykep-1/daukep-1/basekep-1;taymay-2/khau2vataykep-1/daukep-1/keppart1-2;taymay-2/khau2vataykep-1/daukep-1/keppart1-1;taymay-2/khau2vataykep-1/daukep-1/keppart3-3;taymay-2/khau2vataykep-1/daukep-1/keppart2-2;taymay-2/khau2vataykep-1/daukep-1/keppart2-4;taymay-2/khau2vataykep-1/daukep-1/keppart2-1;taymay-2/khau2vataykep-1/daukep-1/keppart2-3;taymay-2/khau2vataykep-1/daukep-1/keppart3-4;taymay-2/khau2vataykep-1/daukep-1/servo-1,hetruc_basekep,,daukep_link_joint,fixed,0.23795,-0.028269,0.007,-1.5708,0,0,khau2_link,0,0,0,,,,,,,,,,,,
camera_link,-0.00939274698668374,0,-0.00106137342194758,0,0,0,0.00236745140592382,9.79074901358523E-08,-3.66717599804701E-24,-1.28332500092104E-08,1.02150611612328E-07,-9.11444668144134E-24,9.28820151783273E-08,0,0,0,0,0,0,package://robot_ros_gk/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_ros_gk/meshes/camera_link.STL,,camera-1,hetruc_camera,,camera_link_joint,fixed,0.16071,0,0.05825,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar_link,0.00759150060436392,-6.93889390390723E-18,-0.0111854943900236,0,0,0,0.0858350837785103,2.80446897872303E-05,-1.15533925047628E-21,6.07178023049773E-06,5.22834636955613E-05,-1.26107264399989E-21,7.24236756299104E-05,0,0,0,0,0,0,package://robot_ros_gk/meshes/lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_ros_gk/meshes/lidar_link.STL,,lidar-2,hetruc_lidar,,lidar_link_joint,fixed,0.083214,0,0.103,0,0,0,base_link,0,0,0,,,,,,,,,,,,
gps_link,6.93889390390723E-18,0.000460852401486874,-0.000489732307491202,0,0,0,0.00152770883565398,3.91271661137632E-07,-1.29673830620739E-23,1.19120609239483E-24,9.54941870527927E-08,-1.32479464099464E-10,4.86477086328905E-07,0,0,0,0,0,0,package://robot_ros_gk/meshes/gps_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_ros_gk/meshes/gps_link.STL,,gps-1,hetruc_gps,,gps_link_joint,fixed,-0.038051,0.047135,0.001,0,0,0,base_link,0,0,0,,,,,,,,,,,,
banhtraitruoc_link,1.31221201057907E-06,4.04190569902596E-15,0.0150833895369077,0,0,0,0.0734919260346545,4.45273897864017E-05,2.44745835009237E-21,2.91287022841161E-09,4.45273895329903E-05,-3.2367085576799E-21,7.80097512636335E-05,0,0,0,0,0,0,package://robot_ros_gk/meshes/banhtraitruoc_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_ros_gk/meshes/banhtraitruoc_link.STL,,banhxefinallll-3/lopxe-1;banhxefinallll-3/banhxe-1,hetruc_banhxetraitruoc,trucbanhtruoc,banhtraitruoc_link_joint,continuous,0.094693,0.1155,0.01,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
banhphaitruoc_link,-6.68215482946266E-14,3.34801630863524E-15,-0.0150833895938771,0,0,0,0.0734919260346547,4.45273895329904E-05,-4.08379281106138E-21,-1.09394636010138E-21,4.45273895329904E-05,1.5902140883326E-22,7.80097515170452E-05,0,0,0,0,0,0,package://robot_ros_gk/meshes/banhphaitruoc_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_ros_gk/meshes/banhphaitruoc_link.STL,,banhxefinallll-4/lopxe-1;banhxefinallll-4/banhxe-1,hetruc_banhxephaitruoc,trucbanhtruoc,banhphaitruoc_link_joint,continuous,0.094693,-0.1155,0.01,1.5708,0,-8.6997E-05,base_link,8.6997E-05,0,1,,,,,,,,,,,,
